Symbols,Price,IsUptrend,AboveMA,Yearly_Profit_20%,Quarterly_Profit_Growth,Revenue_Growth,EPS_Growth,Symptoms_Count
FCF,16.79,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
FCT,10.27,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
FDP,33.03,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FDX,275.88,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FFA,20.01,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
FG,41.37,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
FGB,4.16,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
FHI,40.77,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FHN,19.27,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
FI,202.26,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FIHL,17.77,TRUE,FALSE,y_no_gp,q_no_gp,TRUE,FALSE,2
FINV,6.8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FLR,50.08,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FLS,58.15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FLUT,261.34,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FMS,22.48,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FNB,14.4,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
FOA,24.5,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
FOF,12.36,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
FPI,12.1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FRA,13.85,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
FRT,109.55,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FSCO,6.68,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
FSK,21.22,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
FSS,91.77,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FT,7.22,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
FTHY,14.43,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
FTI,28.63,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FTK,7.36,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FUBO,1.32,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
FUN,46.4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
FVRR,32,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
G,42.3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
GAB,5.36,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
GATX,156.8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
GBCI,49.55,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
